iter	RMSE
0	724.7102145
1	712.5762972
2	698.7408859
3	687.5252208
4	679.7686883
5	671.0134874
6	661.1462081
7	652.1700516
8	643.3613943
9	631.6508852
10	621.8743824
11	614.783222
12	603.9283788
13	595.1679583
14	588.4447411
15	581.6575608
16	575.2388447
17	571.4045987
18	565.1891629
19	558.7643996
20	554.3344498
21	549.9239041
22	542.5258443
23	537.9194606
24	533.9257848
25	529.6278477
26	525.7963673
27	520.2024348
28	516.5900834
29	510.5442087
30	508.0542098
31	502.7946024
32	498.0885301
33	494.5723273
34	488.1209283
35	485.0777574
36	480.9830112
37	477.1500965
38	471.9521576
39	468.8650228
40	465.8463329
41	460.2722746
42	455.8905693
43	451.2467107
44	448.732732
45	446.4853069
46	442.8134563
47	440.989359
48	438.5222897
49	436.7656726
50	433.9874241
51	428.5411556
52	425.1271373
53	420.6655203
54	416.0930567
55	412.9817807
56	410.7947063
57	406.9973005
58	404.6422
59	400.7358038
60	397.8558438
61	394.9285936
62	393.3348904
63	390.7571029
64	388.8869886
65	386.5500678
66	384.3909596
67	381.3330701
68	378.6849551
69	376.1486314
70	372.9579487
71	371.2553511
72	369.4950784
73	368.1690294
74	366.2527074
75	364.2697487
76	360.4564429
77	358.301227
78	355.0661126
79	353.0024463
80	350.617989
81	348.667636
82	347.4727615
83	344.4867669
84	342.8275499
85	341.2461987
86	337.3482767
87	334.8837107
88	333.6438975
89	332.3887615
90	330.8097462
91	328.0928388
92	325.5515962
93	324.388337
94	323.1490671
95	321.5771411
96	320.5417157
97	319.1894983
98	318.3035528
99	316.792293
100	315.716344
101	314.1661747
102	313.0341842
103	311.7779946
104	310.7837062
105	309.0275704
106	308.0938736
107	306.8709395
108	304.0721972
109	302.6762532
110	301.7141157
111	300.8246716
112	299.5998576
113	297.5079481
114	295.7319071
115	294.6843879
116	293.6186514
117	292.6858695
118	290.2483065
119	289.0406907
120	287.1467976
121	286.4247689
122	285.5214655
123	283.7023466
124	281.9153001
125	280.8359819
126	279.8723729
127	277.9483924
128	276.2837893
129	274.8746427
130	274.0553727
131	273.0470377
132	271.8717679
133	270.8487802
134	269.4183807
135	268.2515773
136	266.9812606
137	266.1779617
138	264.5744039
139	263.104982
140	261.4029744
141	259.9594803
142	258.8022215
143	257.7576225
144	256.6181498
145	255.3120917
146	254.5011296
147	253.368394
148	251.4746016
149	250.4374632
150	248.3974145
151	247.0539356
152	246.5251049
153	245.8747838
154	244.8912499
155	243.6768735
156	243.2940223
157	242.3255343
158	241.8112922
159	240.7747026
160	239.7492786
161	238.3140625
162	236.9893656
163	236.2264662
164	235.5444984
165	234.3989376
166	233.6020943
167	233.025636
168	232.0610395
169	231.2948722
170	230.6032655
171	229.7677766
172	228.170896
173	226.8136887
174	225.832776
175	224.9609806
176	223.4613394
177	222.840976
178	222.2280462
179	220.8347416
180	220.1769193
181	218.9395318
182	218.3416249
183	217.390321
184	216.7782987
185	216.0902052
186	214.606019
187	214.0105127
188	212.5430459
189	211.8458794
190	211.2842837
191	210.7121839
192	210.0280389
193	209.4247719
194	208.8206912
195	207.3944789
196	206.7278932
197	206.1983918
198	205.6133113
199	205.0109596
200	203.5853395
201	202.9562622
202	201.5071932
203	200.5866232
204	200.3110836
205	199.5970665
206	199.1009524
207	198.5831983
208	197.3541165
209	195.8707809
210	194.7215085
211	194.3221983
212	193.8129013
213	193.3532025
214	192.9669593
215	192.6761839
216	192.2923551
217	190.9554864
218	189.9313058
219	189.6652111
220	188.534611
221	187.9438121
222	187.6852514
223	187.5047219
224	186.6165501
225	186.3468609
226	185.508442
227	185.3303721
228	184.2035793
229	183.9096648
230	182.698074
231	181.9967779
232	181.7744577
233	181.2233136
234	180.9880964
235	179.6534535
236	179.222635
237	179.0146459
238	178.1282766
239	177.8564534
240	176.8682951
241	176.3764688
242	176.1473013
243	175.8732798
244	175.0642683
245	174.8214608
246	174.6726236
247	173.6445913
248	172.6731164
249	171.9379432
250	171.1504288
251	170.7842471
252	169.9432331
253	168.9870012
254	168.7687948
255	168.2105191
256	168.0735023
257	167.5320121
258	167.1666059
259	166.9791075
260	166.7821475
261	166.2876029
262	166.1628986
263	165.4156612
264	164.7736915
265	163.7698246
266	162.7055917
267	161.8960783
268	161.7350004
269	160.9211731
270	160.2970965
271	159.9265191
272	159.5106986
273	158.7366004
274	158.0553001
275	157.8974414
276	157.7046574
277	157.5645234
278	156.6587379
279	155.8873594
280	155.2645648
281	154.5763128
282	153.8589278
283	153.6282454
284	152.9123419
285	152.8244764
286	152.3764783
287	151.6241282
288	151.488239
289	151.3208431
290	151.1859792
291	150.3237217
292	150.0482923
293	149.4972865
294	149.1623381
295	148.0383491
296	147.8378232
297	147.6866069
298	147.0620267
299	146.2212182
300	145.6275411
301	144.7976231
302	144.21923
303	144.1380883
304	143.7872342
305	143.6739641
306	142.6508787
307	141.699248
308	140.8999739
309	140.5522216
310	140.1523564
311	139.5065537
312	138.9851831
313	138.6758759
314	138.1381376
315	138.0205858
316	137.4135277
317	136.8799706
318	136.2495413
319	135.4965984
320	135.3962053
321	134.9717068
322	134.5159987
323	133.7044121
324	133.2355949
325	132.7462505
326	132.1927513
327	131.6890163
328	131.3866992
329	130.9510161
330	130.5098021
331	130.3404816
332	129.7776865
333	129.6110112
334	128.8835131
335	128.4520217
336	128.1271212
337	127.9679078
338	127.4493265
339	127.1784682
340	126.9956204
341	126.7949042
342	126.0070262
343	125.9244937
344	125.2123334
345	125.0662804
346	124.9779685
347	124.6679132
348	124.5263364
349	124.0328679
350	123.4208724
351	123.2437771
352	122.9550796
353	122.8323106
354	122.1826156
355	121.7317283
356	121.1804266
357	120.932931
358	120.3147627
359	120.2046112
360	120.0959244
361	119.2934151
362	119.2105199
363	119.1520382
364	118.4631761
365	118.0538966
366	117.8466553
367	117.4818437
368	116.9054106
369	116.5010879
370	116.4008927
371	115.8606741
372	115.1695185
373	114.9002601
374	114.7788493
375	114.7083492
376	114.2196804
377	114.0823386
378	113.9699347
379	113.3386582
380	112.7364727
381	112.6608273
382	112.0956851
383	111.872042
384	111.7436017
385	111.4598177
386	111.3108621
387	111.1091794
388	110.5288288
389	110.0991721
390	109.6509963
391	109.5420487
392	109.2733948
393	109.1572524
394	109.1178975
395	108.466582
396	107.9270626
397	107.8393321
398	107.4124408
399	107.1414228
400	107.0469393
401	106.7962796
402	106.2786231
403	106.1865828
404	105.6696659
405	105.4750927
406	105.1372612
407	104.9328152
408	104.3949685
409	104.1201691
410	103.6414504
411	103.4771768
412	103.1431428
413	103.0091466
414	102.9651465
415	102.9133086
416	102.8503854
417	102.7629728
418	102.6527413
419	102.4840279
420	102.3332017
421	101.9147327
422	101.8198027
423	101.6687461
424	101.2219194
425	101.1927974
426	100.7438612
427	100.6896783
428	100.5623422
429	100.2986911
430	100.1875376
431	100.0877695
432	100.0544236
433	99.81160694
434	99.75550367
435	99.66869067
436	99.26593464
437	99.057505
438	98.63535959
439	98.42777778
440	98.28268456
441	98.20330418
442	97.9352558
443	97.76193777
444	97.62721482
445	97.39151309
446	96.91429799
447	96.45170391
448	96.06540296
449	95.75047429
450	95.72453858
451	95.60384646
452	95.52510268
453	95.29114447
454	94.85105583
455	94.82619233
456	94.5190761
457	94.18826056
458	93.76332668
459	93.45355564
460	93.40166519
461	93.02107756
462	92.6766119
463	92.51356349
464	92.23533114
465	91.83709599
466	91.6158875
467	91.58364436
468	91.17012551
469	90.84246751
470	90.65877722
471	90.33271702
472	89.93412786
473	89.6614754
474	89.31388657
475	89.11155158
476	88.87217897
477	88.85254378
478	88.57545648
479	88.30830274
480	88.10105473
481	88.07197545
482	87.89970411
483	87.56690169
484	87.54166007
485	87.28530128
486	87.25115563
487	86.79258898
488	86.41139523
489	86.25045969
490	86.19334615
491	85.88170073
492	85.58256618
493	85.18208672
494	84.82903501
495	84.58305128
496	84.44091457
497	84.18133452
498	84.15515402
499	83.84867246
