asin,title,price_eur,rating,reviews,product_url,image_url
B0F8L98RLY,"HP Laptop | 15,6"" FHD Display | Intel N100 | 4 GB DDR4 RAM | 128 GB UFS | Intel UHD Graphics | Windows 11 Home im S-Modus | QWERTZ | Natural Silver",1719.55,4.2,167.0,,https://m.media-amazon.com/images/I/71QYTkeRc1L._AC_UY218_.jpg
B0GMCYX8ND,Lenovo ThinkPad T14 G1 Laptop | 14 Zoll | 1920 x 1080 | AMD Ryzen 5 Pro 4650U | 16 GB DDR4 RAM | 256 GB NVMe | DE-QWERTZ | Windows 11 Pro | 1 Jahr Garantie | (Generalüberholt),1936.02,4.8,7.0,,https://m.media-amazon.com/images/I/61R77fhF4bL._AC_UY218_.jpg
B0H28V9JGR,"Laptop 15,6 Zoll 8GB RAM 256GB SSD Notebook Full HD IPS Display Roségold Hintergrundbeleuchtete Tastatur Fingerabdruck-Entsperrung Dual-Band WLAN HDMI USB 3.0 für Schule Studium Home Office A",2119.91,4.8,6.0,,https://m.media-amazon.com/images/I/71he0Tu1jXL._AC_UY218_.jpg
B0DJBQ8Y7K,"HP Chromebook x360 Laptop (14"" HD Touchscreen, Intel N100, Gemini, 4 GB RAM, 128GB, ChromeOS, QWERTZ) - Silber",1719.55,4.2,180.0,,https://m.media-amazon.com/images/I/61NVcVvYSBL._AC_UY218_.jpg
B0CXQ5XM3X,"Lenovo Laptop 15,6 Zoll Full-HD - Intel Quad N5100 4x2.80 GHz, 16GB DDR4, 512 GB SSD, Intel UHD, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 11 Prof. 64 Bit Notebook - 7606",3289.97,4.2,733.0,,https://m.media-amazon.com/images/I/51qC2ALoc8L._AC_UY218_.jpg
B0F7RBKYC6,"Celeron Quad Core SSD (15,6 Zoll Full-HD) lautloses Notebook (Celeron N3450 4x2.20 GHz, 8GB DDR4, 256 GB SSD, USB 3.0, HD Graphics 500, LAN, m-HDMI, Windows 11, MS Office) - 8028",1389.83,3.5,11.0,,https://m.media-amazon.com/images/I/61d44fqtzSL._AC_UY218_.jpg
B0DS2LB2DT,"Acer Aspire Go 15 | Laptop | Ryzen 7 | 16GB | 512GB | mit Netzteil | 15,6"" FHD IPS Display | AMD Ryzen 7 5825U | 16GB RAM | 512GB SSD | AMD Grafik| Windows 11 | QWERTZ Tastatur | AG15-42P-R8SZ",4182.86,4.3,185.0,,https://m.media-amazon.com/images/I/71znThB0tzL._AC_UY218_.jpg
B0H36N6R5H,"ASUS i3 Laptop 17,3 Zoll FullHD (Intel Core 3 Prozessor 100U, 6 Kerne, 4.70 GHz, 8 GB DDR5 RAM, 256 GB NVME SSD, HDMI, BT, Webcam, USB-C/3.0, WLAN, Windows 11 Prof) Notebook #8605",3132.85,4.7,9.0,,https://m.media-amazon.com/images/I/61FzIWRA3HL._AC_UY218_.jpg
B0F9LFB3HM,"HP Laptop mit 17,3"" HD+ Display, Intel Celeron N4120, 8 GB DDR4 RAM, 256 GB SSD, Intel UHD-Grafik, Windows 11, QWERTZ Tastatur, Schwarz",,4.0,510.0,,https://m.media-amazon.com/images/I/71rnQ0RppgL._AC_UY218_.jpg
B0FZB6MTF3,Lenovo Business Laptop:16 Zoll WUXGA 1920 x1200 Touchscreen • 13th Generation Intel Core i7-1355U • 16GB DDR4 SDRAM • 2TB NVMe SSD • W10P • Wi-Fi 6 FPR Thunderbolt 4 • Intel Iris Xe Grafik,940.28,,,,https://m.media-amazon.com/images/I/61Rbr-OvGLL._AC_UY218_.jpg
B0HF84B5V1,"ASUS Laptop - 17,3 Zoll FHD Display - Intel Core 3 Prozessor 100U, 6 x 4.70 GHz - 16 GB DDR4 RAM - 512 GB SSD - Intel 4K Graphics - Windows 11 Pro - MS Office - #8663",3925.12,4.9,13.0,,https://m.media-amazon.com/images/I/61BrJiX2jeL._AC_UY218_.jpg
