asin,title,brand,price_eur,rating,reviews,cpu,ram_gb,storage_gb,gpu,screen_size_inch,resolution,os,keyboard,product_url,search_page,gaming,touchscreen
B0G71BJS8S,"Microsoft Surface Laptop, 13.8"" | Snapdragon X Elite | 16GB RAM, 512GB SSD | 13.8"" LCD Touchscreen | Copilot+ PC | Schwarz | Windows 11 Home | 7. Edition",Microsoft Surface,1056.07,4.8,15.0,Snapdragon X Elite,16.0,512.0,Unknown,13.8,Unknown,Unknown,Unknown,,1.0,0,0
B0DYDVFVTJ,"Microsoft Surface Laptop, 13"" | Snapdragon X Plus | 16GB RAM, 256GB SSD | 13"" LCD Touchscreen | Copilot+ PC | Platin | Windows 11 Home | Neuestes Modell (1. Edition)",Microsoft Surface,735.54,4.3,74.0,Snapdragon X Plus,16.0,256.0,Unknown,13.0,Unknown,Unknown,Unknown,,1.0,0,0
B0F8L98RLY,"HP Laptop | 15,6"" FHD Display | Intel N100 | 4 GB DDR4 RAM | 128 GB UFS | Intel UHD Graphics | Windows 11 Home im S-Modus | QWERTZ | Natural Silver",HP,219.0,4.1,170.0,Intel N100,4.0,128.0,Intel UHD Graphics,15.6,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/HP-Display-Graphics-Microsoft-enthalten/dp/B0F8L98RLY/ref=sr_1_3?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-3,1.0,1,0
B0H28V9JGR,"Laptop 15,6 Zoll 8GB RAM 256GB SSD Notebook Full HD IPS Display Roségold Hintergrundbeleuchtete Tastatur Fingerabdruck-Entsperrung Dual-Band WLAN HDMI USB 3.0 für Schule Studium Home Office A",Trygood,249.19,4.2,8.0,Unknown,8.0,256.0,Intel UHD Graphics,15.6,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/Trygood-Notebook-Hintergrundbeleuchtete-Fingerabdruck-Entsperrung-Dual-Band/dp/B0H28V9JGR/ref=sr_1_4?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-4,1.0,1,0
B0DJBQ8Y7K,"HP Chromebook x360 Laptop (14"" HD Touchscreen, Intel N100, Gemini, 4 GB RAM, 128GB, ChromeOS, QWERTZ) - Silber",HP,219.0,4.2,181.0,Intel Celeron N4120,4.0,128.0,Intel UHD Graphics,14.0,1366x768,Chrome OS,QWERTZ,https://www.amazon.de/HP-Chromebook-Touchscreen-Prozessor-Graphics/dp/B0DJBQ8Y7K/ref=sr_1_5?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-5,1.0,1,1
B083L855NZ,"Acer Chromebook Plus 515| Laptop | Core i3 | 8GB | 128GB | mit Netzteil | 15,6"" FHD IPS Display | Intel Core i3-1215U | 8GB RAM | 128GB SSD | Chrome OS | QWERTZ-Tastatur | CB515-2H-EU5",Acer,411.6,4.4,8.0,Intel Core i3-1215U,8.0,128.0,Unknown,15.6,1920x1080,Chrome OS,QWERTZ,https://www.amazon.de/Acer-Chromebook-Laptop-128GB-Netzteil/dp/B083L855NZ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-6,1.0,1,0
B0HCHLSDT4,"15,6 Zoll FHD Laptop, 16GB RAM 256GB SSD, Core M3-6Y30 Prozessor Win 11 Laptops mit Fingerabdruckleser, Tastatur mit Hintergrundbeleuchtung, WiFi 5, USB3.0, tragbarer dünner Laptop für",Breloom,185.6,4.8,10.0,Intel Core i3-8145U,16.0,256.0,Intel UHD Graphics,15.6,1920x1080,Windows 11 Pro,QWERTY,https://www.amazon.de/Breloom-Prozessor-Fingerabdruckleser-Hintergrundbeleuchtung-tragbarer/dp/B0HCHLSDT4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-7,1.0,1,1
B0H4G77SR4,"18,5 Zoll Laptop AI-Unterstützung 16GB RAM 256GB SSD | Core i3, Win 11, 8000mAh Akku, WiFi6, FHD, 180° Drehung, Vollfunktions Type-C, Deutsche Tastatur Ideal für Studium, Business",Meliuna,412.44,5.0,31.0,Intel Core i3,16.0,256.0,Unknown,18.5,1920x1080,Windows 11,German,,1.0,0,0
B0H6Q4RH55,"jumper 17,6 Zoll Laptop 16GB RAM 256GB SSD für Unternehmen und Studenten | 100% sRGB FHD Display, 10100Y CPU(bis zu 3,9GHz), Beleuchtetes QWERTZ-Tastatur Notebook Computer, Allgemein Typ-C/HDMI/WiFi6",Jumper,464.0,4.0,93.0,Intel Core i3-10100Y,16.0,256.0,Unknown,17.6,1920x1080,Unknown,QWERTZ,,1.0,0,0
B0GTQQ3QWN,"Laptop 18,5 Zoll 16GB RAM 256GB SSD, AI Unterstützung Notebook Core i3 (bis zu 3,9 GHz), 8000mAh Akku, Win 11, WiFi 6, FHD Display 180° Betrachtungswinkel, HDMI, USB-C Multifunktionsanschluss",Liuord,687.42,4.7,49.0,Intel Core i3,16.0,256.0,NVIDIA GeForce RTX 5060,18.5,1920x1080,Windows 11,QWERTY,https://www.amazon.de/Liuord-Unterst%C3%BCtzung-Notebook-Betrachtungswinkel-Multifunktionsanschluss/dp/B0GTQQ3QWN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-10,1.0,1,0
